Layer,Main_compo,Thickness (m),FloorplanFile,PowerFile,Clip_num_x,Clip_num_y,Clip_num_z
0,Diel,4e-06,../Mono3D/flp_files/Mono3D_diel_flp.csv,,4,4,1
1,Metal,4e-06,../Mono3D/flp_files/Mono3D_metal_flp.csv,,4,4,2
2,Diel,18e-07,../Mono3D/flp_files/Mono3D_diel_flp.csv,,4,4,1
3,Metal7_8,18e-07,../Mono3D/flp_files/Mono3D_metal7_8_flp.csv,,4,4,2
4,Diel,15e-07,../Mono3D/flp_files/Mono3D_diel_flp.csv,,4,4,1
5,Metal,15e-07,../Mono3D/flp_files/Mono3D_metal_flp.csv,,4,4,2
6,Diel,8.5e-08,../Mono3D/flp_files/Mono3D_diel_flp.csv,,4,4,1
7,Si,8.5e-08,../Mono3D/flp_files/Mono3D_poly_flp.csv,,4,4,2
8,Si,5e-07,../Mono3D/flp_files/Mono3D_tier1_flp.csv,../Mono3D/power_files/Mono3D_tier1_power.csv,16,16,5
9,Diel,3e-07,../Mono3D/flp_files/Mono3D_diel_flp.csv,,4,4,1
10,Metal,3e-07,../Mono3D/flp_files/Mono3D_metal_flp.csv,,4,4,2
11,Si,1e-07,../Mono3D/flp_files/Mono3D_poly_flp.csv,,4,4,2
12,Diel,8.5e-08,../Mono3D/flp_files/Mono3D_diel_flp.csv,,4,4,1
13,Si,5e-07,../Mono3D/flp_files/Mono3D_tier0_flp.csv,../Mono3D/power_files/Mono3D_tier0_power.csv,16,16,5
14,Si,7.6e-05,../Mono3D/flp_files/Mono3D_poly_flp.csv,,4,4,2